date,nb_confirmes,nb_deces,nb_premiere_injection_vaccin,nb_deuxieme_injection_vaccin
2021/10/07,8656,185,156186,107332
2021/10/08,9011,191,162314,120807
2021/10/09,9100,186,162314,120807
2021/10/10,9166,200,163063,123133
2021/10/11,9166,201,164683,126905
2021/10/12,9417,209,165971,130800
2021/10/13,9665,225,167098,133754
2021/10/14,9767,226,170298,138100
2021/10/15,9861,231,170298,138100
2021/10/16,9933,236,171401,141123
2021/10/17,9977,241,171401,141127
2021/10/18,10070,242,171401,141127
2021/10/19,10163,243,172477,145238
2021/10/20,10213,245,172964,146797
2021/10/21,10305,247,173358,148073
2021/10/22,10388,252,173854,149597
2021/10/23,10454,252,174084,150366
2021/10/24,10482,257,174092,150374
2021/10/25,10553,261,174485,151729
2021/10/26,10687,261,174887,153435
2021/10/27,10768,263,175295,154815
2021/10/28,10848,264,175667,155982
2021/10/29,10909,264,175667,155982
2021/10/30,10948,264,176189,157759
2021/10/31,10968,265,176189,157759
2021/11/01,10985,266,176206,157826
2021/11/02,11052,267,176531,159280
2021/11/03,11129,267,176832,160511
2021/11/04,11182,267,177090,161404
2021/11/05,11235,267,177375,162305
2021/11/06,11294,267,177450,162552
2021/11/07,11306,268,177450,162552
2021/11/08,11350,269,177696,163217
2021/11/09,11404,271,177926,163884
2021/11/10,11466,271,178199,164607
2021/11/11,11506,272,178199,164607
2021/11/12,11533,272,178199,164607
2021/11/13,11563,272,178199,164607
2021/11/14,11573,272,178199,164607
2021/11/15,11620,272,178564,165576
2021/11/16,11698,273,178819,166109
2021/11/17,11769,273,179110,166683
2021/11/18,11799,273,179110,166683
2021/11/19,11840,273,179533,167447
2021/11/20,11863,274,179591,167538
2021/11/21,11871,276,179591,167538
2021/11/22,11909,276,179805,167817
2021/11/23,11954,276,180060,168187
2021/11/24,11992,276,180368,168521
2021/11/25,12033,276,180625,168890
2021/11/26,12067,276,180936,169208
2021/11/27,12099,276,181074,169288
2021/11/28,12105,276,181074,169288
2021/11/29,12139,276,181357,169761
2021/11/30,12159,276,180552,170079
2021/12/01,12185,276,180731,170319
2021/12/02,12195,276,180731,170319
2021/12/03,12216,278,181073,170804
2021/12/04,12243,278,181108,170833
2021/12/05,12249,279,181108,170833
2021/12/06,12273,279,181259,171089
2021/12/07,12291,279,181461,171358
2021/12/08,12321,280,181682,171685
2021/12/09,12343,280,181682,171685
2021/12/10,12358,280,182049,172284
2021/12/11,12376,280,182049,172284
2021/12/12,12379,280,182049,172284
2021/12/13,12389,280,182060,172586
2021/12/14,12400,280,182060,172586
2021/12/15,12421,280,182159,172771
2021/12/16,12445,280,182306,172985
2021/12/17,12477,280,182306,172985
2021/12/18,12502,280,182486,173231
2021/12/19,12502,280,182486,173231
2021/12/20,12519,280,182486,173231
2021/12/21,12534,280,182768,173626
2021/12/22,12565,280,182900,173832
2021/12/23,12581,280,182900,173832
2021/12/24,12581,280,182900,173832
2021/12/25,12581,280,182900,173832
2021/12/26,12581,280,183096,174059
2021/12/27,12646,280,183096,174059
2021/12/28,12690,281,183096,174059
2021/12/29,12711,281,183403,174559
2021/12/30,12762,281,183403,174559
2021/12/31,12792,281,183403,174559
2022/01/01,12792,281,183403,174559
2022/01/02,12792,281,183403,174559
2022/01/03,12854,281,183604,174855
2022/01/04,12897,281,163695,174948
2022/01/05,12948,281,183845,175084
2022/01/06,12980,281,183916,175203
2022/01/07,13050,281,183916,175203
2022/01/08,13050,281,184072,175368
2022/01/09,13050,281,184072,175368
2022/01/10,13161,281,184167,175477
2022/01/11,13247,281,184167,175477
2022/01/12,13321,281,184430,175746
2022/01/13,13364,281,184595,175940
2022/01/14,13536,281,184595,175940
2022/01/15,13536,281,184796,176094
2022/01/16,13536,281,184796,176094
2022/01/17,13828,282,184796,176094
2022/01/18,14157,282,185028,176280
